body	topic
"    TOKYO, March 5 (Reuter) - Members of Japan's main
opposition party Shinshinto will debate newly proposed steps in
a government plan to wind up ailing mortgage firms and decide 
the party's stance, a Shinshinto official said on Tuesday.
    The official was speaking to reporters after a meeting
between officials from the ruling coalition and Shinshinto
called to try to break a deadlock on the 1996/97 state budget.
    Shinshinto members have been staging a sit-in in parliament
to protest a government plan to use 685 billion yen of
taxpayers' money from the budget to help wind up seven ailing
mortgage firms.
    The Shinshinto official said the coalition and opposition
parties would meet again later in the day to discuss when to
start parliamentary procedures for voting on the budget.
    Earlier on Tuesday, government and ruling coalition
officials approved some additional steps to the mortgage firm
scheme. The new proposals call on banks to carry out
restructuring over the next seven years to save costs, allowing
them to make more profit and thus increased tax payments of
about 500 billion yen."	N2:LOA
"off their huge amounts in unrecoverable loans."""	N2:LOA
"    TOKYO, March 5 (Reuter) - Below are the main points of a
Japan ruling coalition plan for added steps for the government
scheme to wind up the nation's bad loan ridden mortgage firms,
contained in a coalition statement issued late on Monday:
    -- The government will pass within this fiscal year the
budget for the fiscal year from April 1 without any changes.
The 1996/97 budget includes public spending of 685 billion yen
for the mortgage wind-up scheme.
    -- The government will seek over the next five years
contributions from financial firms and agricultural financial
institutions equal to the 685 billion yen in public spending."	N2:LOA
"    TOKYO, March 5 (Reuter) - Below are the main points of a
Japan ruling coalition plan for added steps for the government
scheme to wind up the nation's bad loan ridden mortgage firms,
contained in a coalition statement issued late on Monday:
    -- The government will pass within this fiscal year the
budget for the fiscal year from April 1 without any changes.
The 1996/97 budget includes public spending of 685 billion yen
for the mortgage wind-up scheme.
    -- The government will seek over the next five years
contributions from financial firms and agricultural financial
institutions equal to the 685 billion yen in public spending.
    -- Under the plan, private-sector financial institutions
will carry out restructuring over the next five years to effect
cost savings of one trillion yen, resulting in increased
national tax payments of about 500 billion yen.
    -- Agricultural financial institutions, which lent heavily
to the mortgage firms, will also restructure to the tune of 600
billion to 700 billion yen over the next five years and make
additional contributions of about 180 billion yen to the state."	N2:LOA
"    HONG KONG, March 4 (Reuter) - Indonesia textile manufacturer
PT Argo Pantes has mandated Sumitomo Bank to arrange a US$50
million 3-year term loan facility, the arranger said.
    Proceeds of the loan will be used to refinance existing
loans.
    Other details of the transaction including pricing were not
immediately available.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"    HONG KONG, March 4 (Reuter) - Indonesia textile manufacturer
PT Argo Pantes has mandated Sumitomo Bank to arrange a US$50
million 3-year term loan facility, the arranger said.
    Proceeds of the loan will be used to refinance existing
loans.
    Other details of the transaction including pricing were not
immediately available.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"    MANILA, March 4 (Reuter) - The Philippines' bellwether
91-day Treasury bill rate inched slightly higher to 12.991
percent from last week's 12.806 percent, the Bureau of Treasury
said on Monday.
    The auction committee accepted 1.5 billion worth of tenders
out of the 2.840 billion peso bids submitted by financial
institutions."	N2:LOA
"    MANILA, March 4 (Reuter) - The Philippines' bellwether
91-day Treasury bill rate inched slightly higher to 12.991
percent from last week's 12.806 percent, the Bureau of Treasury
said on Monday.
    The auction committee accepted 1.5 billion worth of tenders
out of the 2.840 billion peso worth of bids submitted by
financial institutions."	N2:LOA
"    MANILA, March 4 (Reuter) - The Philippines' bellwether
91-day Treasury bill rate inched slightly higher to 12.991
percent from last week's 12.806 percent, the Bureau of Treasury
said on Monday.
    The auction committee accepted 1.5 billion worth of tenders
out of the 2.840 billion peso bids submitted by financial
institutions.
    The 182-day T-bill rate was likewise firmer at 13.447
percent from last week's 13.335 percent.
    A total of 2.0 billion pesos worth of bids was awarded by
the committee out of the 2.549 billion pesos worth of tenders
received for 182 day bills.
    The 364-day T-bill rate also nudged higher to 13.910 percent
as compared with 13.845 percent registered a week ago.
    The committee accepted 2.0 billion pesos out of the 4.575
billion pesos worth of tenders for 364 day bills.
    - Manila newsroom 63 2 8109636 Fax 8176267"	N2:LOA
"    MANILA, March 4 (Reuter) - The Philippines' bellwether
91-day Treasury bill rate inched slightly higher to 12.991
percent from last week's 12.806 percent, the Bureau of Treasury
said on Monday.
    The auction committee accepted 1.5 billion worth of tenders
out of the 2.840 billion peso worth of bids submitted by
financial institutions.
    The 182-day T-bill rate was likewise firmer at 13.447
percent from last week's 13.335 percent.
    A total of 2.0 billion pesos worth of bids was awarded by
the committee out of the 2.549 billion pesos worth of tenders
received for 182 day bills.
    The 364-day T-bill rate also nudged higher to 13.910 percent
as compared with 13.845 percent registered a week ago.
    The committee accepted 2.0 billion pesos out of the 4.575
billion pesos worth of tenders for 364 day bills.
    --Manila newsroom 63 2 8109636, Fax 8176267"	N2:LOA
"    ANKARA, March 4 (Reuter) - Turkey's private Garanti Bank has
secured a $110 million one-year loan under a club deal
coordinated by Dai-Ichi Kangyo Bank, bank officials said on
Monday.
    They said the loan would have an all-in cost of 80 basis
points over Libor.
    The loan accord will be signed on March 15."	N2:LOA
"    LONDON, March 5 (Reuter) - The UK Export Credits Guarantee
Department (ECGD) said it was providing repayment guarantees for
two export credit loans to Russia.
    The $9.0 million and six million stg loans, by Midland Bank
Plc, had helped finance contracts awarded to two British firms
-- Kone Lifts and APV UK Plc.
    -- Jonathan Thatcher, London Newsroom +44 171 542 7770 (fax
+44 171 583 7239)"	N2:LOA
" -- Kolumbina Bencevic, Zagreb Newsroom, 385-1-4557075"""	N2:LOA
"    TOKYO, March 4 (Reuter) - Ado Electric Industrial Co Ltd
<8073.Q> and Daiwabo Information System Co Ltd <9912.Q> said on
Monday that because of a bankruptcy filing by customer Nippon
Incom, they may be unable to recover debt owed to them.
    Ado said it was owed 120 million yen, and Daiwabo
Information 200 million yen.
    However, the two companies said they were not altering
their earnings forecasts."	N2:LOA
"    TOKYO, March 4 (Reuter) - Ado Electric Industrial Co Ltd
<8073.Q> and Daiwabo Information System Co Ltd <9912.Q> said on
Monday that because of a bankruptcy filing by customer Nippon
Incom, they may be unable to recover debt owed to them.
    Ado said it was owed 120 million yen, and Daiwabo
Information 200 million yen.
    However, the two companies said they were not altering
their earnings forecasts.
* Reuter Terminal users, for related news double click on:
[JP] [WHO] [DPR] [RESF] [DBT] [LOA] [ELC]
* For company news:
[9912.Q] [8073.Q]
* For prices or rates:
<9912.Q> <8073.Q>"	N2:LOA
"    TOKYO, March 1 (Reuter) - Shareholders of Daiwa Bank Ltd
<8319.T> are preparing to file a second lawsuit against the
bank's executives, a lawyer representing the shareholders said
on Friday.
    Hideto Iida said the shareholders were taking the action
after the bank was fined a record $340 million for concealing a
$1.1 billion illegal trading loss from U.S. regulators.
    It would be the second suit against the executives. The
first came after Daiwa said in September that a bond trader at
its New York branch lost $1.1 billion in unauthorised bond
trading over an 11-year period, he said."	N2:LOA
"inadequate risk management and seeking damages."""	N2:LOA
"    By Linda Sieg
    TOKYO, March 5 (Reuter) - Japan's main opposition party on
Tuesday kept up its efforts to block passage of a controversial
plan to wind up ailing mortgage firms with tax money and it
remained unclear whether the ruling parties would force a vote.
    Members of the opposition Shinshinto (New Frontier Party)
for a second day blocked the entrance to the Lower House budget
committee room in parliament, thwarting a ruling coalition plan
to start panel deliberations in the morning."	N2:LOA
"    By Linda Sieg
    TOKYO, March 5 (Reuter) - Japan's main opposition party on
Tuesday kept up its efforts to block passage of a controversial
plan to wind up ailing mortgage firms with tax money and it
remained unclear whether the ruling parties would force a vote.
    Members of the opposition Shinshinto (New Frontier Party)
for a second day blocked the entrance to the Lower House budget
committee room in parliament, thwarting a ruling coalition plan
to start panel deliberations in the morning.
    Riding a wave of public outrage, Shinshinto has vowed to do
all it can to block the budget and its provision of 685 billion
yen ($6.52 billion) -- equivalent to 5,500 yen ($52) from every
Japanese -- to help wind up the seven mortgage firms.
    The firms were crippled when loans they made turned sour
after the collapse of Japanese asset prices in the early 1990s.
    Ruling coalition parties, fearing voter ire, have been
scrambling to find ways to make the scheme more palatable."	N2:LOA
"    NEW YORK, March 4 (Reuter) - The Federal National Mortgage
Association plans to make $8 billion of mortgage loans available
and change applications rules to increase home ownership in New
York City, the New York Times reported on Monday.
    Officials from the company, which is more widely known as
Fannie Mae, and New York City Mayor Rudolph Giuliani are
expected to announce the programme on Monday, the paper said.
    The programme will supplement a nine-year-old housing
rehabilitation programme on which the city has spent $4 billion,
the paper said.
    Fannie Mae's programme with the city is unusual, since it
will make home mortgages available to moderate income people,
the paper said.
    While 60 percent of American families own their own homes,
only 29 percent of New York City residents do, the paper said.
    Fannie Mae buys loans from banks and savings associations
and provides local lenders with rules about the kinds of
mortgages it will buy from them, the paper said.
    The rules often cover the amount of income of a mortgage
applicant, the price of the home and amount of down payment, the
paper said. -- New York Newsdesk  212-859-1610"	N2:LOA
"    TOKYO, March 4 (Reuter) - Vice Finance Minister Tadashi
Ogawa told a news conference on Monday that it would be
difficult to persuade banks to agree to pay more in a scheme to
wind up ailing mortgage firms."	N2:LOA
"[JP] [M+] [BNK] [FIN] [LOA] [DBT] [INS]"""	N2:LOA
"an address to the Institute of Marketing and Management."""	N2:LOA
"    -- Bombay newsroom +91-22-285 2851"""	N2:LOA
"    TOKYO, March 5 (Reuter) - Japan's long-term prime lending
rate for March is likely to be raised from February's 3.0
percent, financial market sources said on Tuesday.
    The prime rate, a major lending rate applied to long-term
loans to Japanese long-term credit banks' most creditworthy
clients, is usually reviewed when yields on their most recently
issued debentures deviate more than 0.2 percentage point from
the coupons.
    The newest February issue of the Industrial Bank of Japan
(IBJ) yielded 2.36 percent on Tuesday, against its 2.10 percent
coupon, brokers said."	N2:LOA
"    TOKYO, March 5 (Reuter) - Japan's long-term prime lending
rate for March is likely to be raised from February's 3.0
percent, financial market sources said on Tuesday.
    The prime rate, a major lending rate applied to long-term
loans to Japanese long-term credit banks' most creditworthy
clients, is usually reviewed when yields on their most recently
issued debentures deviate more than 0.2 percentage point from
the coupons.
    The newest February issue of the Industrial Bank of Japan
(IBJ) yielded 2.36 percent on Tuesday, against its 2.10 percent
coupon, brokers said.
    Long-Term Credit Bank of Japan Ltd's February issue yielded
2.7 percent on Tuesday, against its 2.3 percent coupon, while
Nippon Credit Bank Ltd's February issue yielded 2.95 percent,
higher than its 2.45 percent coupon, long-term credit bankers
said.
    Long-term credit banks plan to announce their March prime
rates early next week, the bankers said.
* Reuter Terminal users, for related news double click on:
[JP] [INT] [DBT] [LOA]"	N2:LOA
"common sense.\"""""	N2:LOA
"contribute more towards the wind-up scheme."""	N2:LOA
"    TOKYO, March 4 (Reuter) - Japanese government leaders are
likely to meet on Monday to approve additional steps for the
government's scheme to wind up mortgage firms, Chief Cabinet
Secretary Seiroku Kajiyama told a news conference.
    But Kajiyama said he did not know how discussions among the
ruling coalition parties on adjustments to the scheme were
progressing."	N2:LOA
"    TOKYO, March 4 (Reuter) - Japanese government leaders are
likely to meet on Monday to approve additional steps for the
government's scheme to wind up mortgage firms, Chief Cabinet
Secretary Seiroku Kajiyama told a news conference.
    But Kajiyama said he did not know how discussions among the
ruling coalition parties on adjustments to the scheme were
progressing.
    Kajiyama said the coalition parties were considering
leaving their budget plan for fiscal 1996/97 unchanged,
including a provision for the use of 685 billion yen of public
money for the mortgage firm scheme.
    They were also considering asking banks which founded the
mortgage firms and agricultural financial institutions which
lent heavily to them to take more responsibility for the cost
of winding up the companies, he said.
    The coalition also wanted to review the Finance Ministry's
administrative guidance to the financial industry, he said.
* Reuter Terminal users, for related news double click on:
[JP] [BNK] [FIN] [LOA] [DBT] [MTG] [REA]"	N2:LOA
"    TOKYO, March 4 (Reuter) - Japan's ruling coalition parties
hope to finalise additional steps for the government's plan to
wind up the nation's ailing mortgage firms, including an added
500 billion yen contribution from banks which founded the firms
over a five-year period, coalition sources said on Monday.
    The added steps would also include 200 billion yen over the
next four years, to be taken from the state budget, to be set
aside to help the agricultural sector cope with liberalisation
decided under the Uruguay Round of multilateral trade talks,
the sources said."	N2:LOA
"    TOKYO, March 1 (Reuter) - Moody's Investors Service Inc
said on Friday it has assigned a prospective rating of (P)Aaa
to 25 billion yen worth of floating rate notes and 25 billion
yen worth of fixed rate notes issued by J-CARS Corp II.
    Moody's issues prospective ratings in advance of the final
sale of the securities, and the (P)Aaa rating reflects Moody's
preliminary credit opinion regarding the transactions.
    After a conclusive review, Moody's will assign definitive
ratings to the notes, the rating agency said.
    Both notes are backed by auto loan contracts originated by
Nippon Shinpan Co Ltd <8583.T>."	N2:LOA
"    TOKYO, March 1 (Reuter) - Moody's Investors Service Inc
said on Friday it has assigned a prospective rating of (P)Aaa
to 25 billion yen worth of floating rate notes and 25 billion
yen worth of fixed rate notes issued by J-CARS Corp II.
    Moody's issues prospective ratings in advance of the final
sale of the securities, and the (P)Aaa rating reflects Moody's
preliminary credit opinion regarding the transactions.
    After a conclusive review, Moody's will assign definitive
ratings to the notes, the rating agency said.
    Both notes are backed by auto loan contracts originated by
Nippon Shinpan Co Ltd <8583.T>.
    These transactions represent the largest true asset-backed
securitisations to date of Japanese assets, Moody's said.
    Moody's said that the prospective ratings were based on an
assessment of the risk characteristics of the auto loan
contracts and the credit enhancement contained within the
structures to absorb losses on these contracts.
    The floating rate notes benefit from an interest rate swap
from GS Financial Products International LP, which has a debt
rating of triple A. The fixed rate notes and floating rate
notes are backed by the same pool of auto loan contracts and
contain cross default provisions, Moody's said.
* Reuter Terminal users, for related news double click on:
[JP] [FIN] [AAA] [US] [AUT] [LOA] [DBT] [ISU]
* For company news:
[8583.T]
* For prices or rates:
<8583.T>"	N2:LOA
"    TOKYO, March 4 (Reuter) - Senior policy makers from Japan's
three ruling coalition parties and business executives failed
on Monday to agree on additional measures in a plan to wind up
seven ailing mortgage firms, Toru Hashimoto, chairman of the
Federation of Bankers Association of Japan, told reporters."	N2:LOA
"would be held later on Monday evening."""	N2:LOA
"trillion yen in loans to the firms."""	N2:LOA
"additional financial burden, he said."""	N2:LOA
"    ANKARA, March 1 (Reuter) - Turkey's state-owned Emlakbank
gave a mandate for a $30-million one-year syndicated loan, its
general manager Veysi Oral said.
   Oral said said the fully-underwritten pre-export financing
facility would have an interest of Libor plus 50 basis points.
He did not disclose which banks were mandated.
   Bank officials said the all-in cost of the loan was 87.25
basis points over Libor.
   The loan accord will be signed by April 15, Oral said."	N2:LOA
"    HONG KONG, March 1 (Reuter) - The two-year term loan
facility for Yue Xiu Enterprise Holdings Ltd has been increased
to US$55 million from US$30 million due to oversubscription,
said arranger Societe Generale Asia.
    The borrower is a holding company of Guangzhou Investment Co
Ltd <0123.HK>.
    The facility pays a margin of 140 basis points over the
six-month London Interbank Offered Rate and was launched on
January 16.
    Fees are 70 basis points for senior managers and 55 basis
points for managers.
    Arranger Societe Generale, Hong Kong Branch committed to
US$5 million.
    Co-arrangers, with US$5 million each, are Arab Banking
Corporation and Korean French Banking Corporation.
    Senior managers, with US$5 million each, are ANZ, KEXIM Asia
and Yien Yieh Commercial Bank.
    Managers are Development Bank of Singapore, Korea Leasing,
Mitsui Leasing, Saehan Merchant Banking Corporation and Wing
Lung Bank, with US$3 million each, and Asiana Finance, Bank of
Communications, Bank Negara Indonesia, Toyo Trust and UBAF Hong
Kong, with US$2 million each. Signing is set for March 11.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"    HELSINKI, March 4 (Reuter) - Finnish state-owned banking
group Postipankki Oy said on Monday its result for January was
positive and repeated that it expects to return to a full-year
profit in 1996.
    The Postipankki statement came as the bank announced the
launch of a 200 million markka three-year bond with a floating
issue price and a 5.00 percent coupon."	N2:LOA
"    HELSINKI, March 4 (Reuter) - Finnish state-owned banking group Postipankki Oy said on Monday its result for January was positive and repeated that it expects to return to a full-year profit in 1996.
    The Postipankki statement came as the bank announced the launch of a 200 million markka three-year bond with a floating issue price and a 5.00 percent coupon."	N2:LOA
"will require cost pruning in the future, too,\"" the bank said."""	N2:LOA
"    But despite the improving performance -- stemming from higher revenue and lower costs due to rationalisation -- profitability still remained at an \""insufficient level, which will require cost pruning in the future, too,\"" the bank said."""	N2:LOA
"    BOMBAY, March 4 (Reuter) - ABN Amro Bank is raising its
Indian prime lending rate to 19 percent from 17 percent with
immediate effect, an official of its Bombay office said.
    Most foreign banks in India raised their lending rates last
week, attributing the hike to the high cost of funds and rising
demand for credit.    -- Bombay newsroom +91-22-285 2851"	N2:LOA
"    HONG KONG, March 5 (Reuter) - China Resources Enterprise Ltd
has mandated four banks to arrange a US$150 million five-year
term loan facility, the bankers said.
    Arrangers and underwriters are Hong Kong Bank, Bayerische
Landesbank Hong Kong, NatWest Markets and Kleinwort Benson.
    Proceeds of the loan will be used for general working
capital.
    Other details of the transaction, including pricing, were
not immediately available.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"    By Miki Shimogori
    TOKYO, March 4 (Reuter) - Japan's main opposition party on
Monday staged a sit-in in parliament, forcing the government to
delay a vote on an unpopular scheme to use tax money to help
wind up ailing mortgage firms.
    Faced with the boycott, Prime Minister Ryutaro Hashimoto's
ruling coalition scrambled to make the scheme more palatable to
voters, and by late evening appeared close to persuading banks
which founded the mortgage firms to pay more into the plan."	N2:LOA
"    By Miki Shimogori
    TOKYO, March 4 (Reuter) - Japan's main opposition party on
Monday staged a sit-in in parliament, forcing the government to
delay a vote on an unpopular scheme to use tax money to help
wind up ailing mortgage firms.
    Faced with the boycott, Prime Minister Ryutaro Hashimoto's
ruling coalition scrambled to make the scheme more palatable to
voters, and by late evening appeared close to persuading banks
which founded the mortgage firms to pay more into the plan.
 Members of the Shinshinto (New Frontier Party) took turns
blocking the door to the Lower House budget committee room all
day, preventing the panel from starting proceedings needed for
a vote on the budget for the coming fiscal year from April 1.
    Residents of the city of Kobe staged their own angry
protest outside the Tokyo parliament. Inhabitants of the
western city, hit by a huge earthquake in January 1995, urged
the government to spend the tax money not on the mortgage firm
scheme but on helping to rebuild their city, witnesses said."	N2:LOA
"     SINGAPORE, March 5 (Reuter) - Hong Leong Finance Ltd <HLFS.SI> said on Tuesday that its loan portfolio closed at Singapore $4.6 billion for 1995, up 20.4 percent over 1994.
    The group posted a 20.5 percent rise in net profit to S$76.1 million for 1995.
    Group customer deposits rose 25.9 percent to S$4.3 billion and total assets hit a new high of S$5.5 billion.
    Hong Leong said the results for 1995 were achieved without any substantial writebacks of interest or provisions, and after setting aside additional general provisions totalling S$24.5 million for the group and $14.8 million for the company in keeping with the growth in the loan portfolio during the year.
    Singapore newsroom 65-8703080"	N2:LOA
"    TOKYO, March 2 (Reuter) - Industrial Bank of Japan Ltd (IBJ)
<8302.T> will write off 200 billion yen in loans to its
affiliate <Kowa Real Estate Investment Co Ltd>, the Nihon Keizai
Shimbun reported on Saturday.
    IBJ will write off the loans in the current fiscal year
ending March 31, 1996 to help bail out its financially-troubled
real estate affiliate, it said.
    IBJ had outstanding loans totalling 242.5 billion yen to
Tokyo-based Kowa Real Estate Investment at the end of last
April, the paper said."	N2:LOA
"    TOKYO, March 4 (Reuter) - Italy on Monday launched 150
billion yen worth of 3.8 percent 12-year Eurobonds,
underwriters at Daiwa Securities said."	N2:LOA
"    TOKYO, March 4 (Reuter) - Italy on Monday launched 150
billion yen worth of 3.8 percent 12-year Eurobonds,
underwriters at Daiwa Securities said.
    The breakdown of the terms is as follows.
 
 AMT  150 bln yen  COUPON  3.8 pct  MATURITY March 27 2008
 TYPE  straight  ISS PRICE  par     PAY DATE April  3 1996
 INTEREST PAYMENT  March 27 yearly
 LAST RATING       AA+ (NIS) AA (S&P) A1 (Moody's)
 LEAD MANAGER      Daiwa Europe"	N2:LOA
"    TOKYO, March 4 (Reuter) - Ruling coalition parties told
Japanese business leaders on Monday they plan to tell banks
that founded ailing mortgage firms to take more responsibility
for the cost of winding up the firms.
    Party officials said they would also ask agricultural
financial institutions which were heavy lenders to the firms
for cooperation, but they did not elaborate.
    The parties said they would incorporate the additional
requests in government policy on winding up the mortgage firms
to be finalised later on Monday."	N2:LOA
"    TOKYO, March 4 (Reuter) - Ruling coalition parties told
Japanese business leaders on Monday they plan to tell banks
that founded ailing mortgage firms to take more responsibility
for the cost of winding up the firms.
    Party officials said they would also ask agricultural
financial institutions which were heavy lenders to the firms
for cooperation, but they did not elaborate.
    The parties said they would incorporate the additional
requests in government policy on winding up the mortgage firms
to be finalised later on Monday.
    The meeting between officials of the three coalition
parties involved in policy-making and senior officials of
Keidanren (Japan Federation of Economic Organisations) was held
at the request of Liberal Democratic Party Secretary-General
Koichi Kato, a Keidanren official told reporters.
    As an example of the greater responsibility that could be
taken by the founding banks, LDP senior official Masajuro
Shiokawa said they could boost their contribution to a fund to
be set up within the Deposit Insurance Corp in the wind-up
scheme."	N2:LOA
"    TOKYO, March 4 (Reuter) - Officials of Japan's ruling
coalition and executives from business lobby Keidanren (Japan
Federation of Economic Organisations) agreed that banks which
founded ailing mortgage firms would pay an additional 500
billion yen to help wind up the firms, Jiji news agency said on
Monday."	N2:LOA
"    TOKYO, March 4 (Reuter) - Officials of Japan's ruling
coalition and executives from business lobby Keidanren (Japan
Federation of Economic Organisations) agreed that banks which
founded ailing mortgage firms would pay an additional 500
billion yen to help wind up the firms, Jiji news agency said on
Monday.
    Earlier Toru Hashimoto, chairman of the Federation of
Bankers Associations of Japan, told reporters that the meeting
between the Keidanren executives and ruling politicians had
failed to reach an agreement on additional steps for a
government plan to wind up the mortgage firms.
    Japan's main opposition party staged a sit-in on Monday to
keep the Lower House budget committee from starting procedures
to pass the budget for the fiscal year from April, which
includes 685 billion yen for the mortgage firm plan.
    Ruling politicians spent the day scrambling to find ways to
make the scheme palatable to angry voters.
* Reuter Terminal users, for related news double click on:
[JP] [M+] [BNK] [FIN] [LOA] [DBT] [REA] [MTG]"	N2:LOA
"    TOKYO, March 5 (Reuter) - The Japanese government and the
ruling coalition parties will finalise a plan around noon on
Tuesday in which founding banks and agricultural financial
institutions will pay more towards a scheme to wind up ailing
mortgage firms, Finance Minister Wataru Kubo told a news
conference."	N2:LOA
"firms.\"""""	N2:LOA
"    TOKYO, March 4 (Reuter) - Japan's ruling parties may not be
able on Monday to finalise a statement on all additional steps
related to their plan to wind up ailing mortgage firms, a
ruling party politician said.
    A member of the Social Democratic Party told Reuters the
parties planned to finalise an initial set of additional
measures on Monday. These might include a call for the creation
of a special body with investigative powers to unravel the
cause of the mortgage firm fiasco and supervise recovery of the
bad loans, the politician said."	N2:LOA
"for the controversial mortgage firm wind-up plan."""	N2:LOA
"    TOKYO, March 4 (Reuter) - Japan's main opposition party
Shinshinto said it would boycott all parliamentary committee
debate from Monday, including a panel discussing the budget for
the next fiscal year.
    A Shinshinto official said the party would not return to
the debating table unless the government agreed to its demand
for the scrapping of a provision in the budget allowing for the
use of 685 billion yen in taxpayers money to help wind up
ailing mortgage firms.
    If the government withdrew the provision, Shinshinto would
cooperate fully in passing the fiscal budget quickly, he said."	N2:LOA
"    TOKYO, March 4 (Reuter) - Japan's main opposition party
Shinshinto said it would boycott all parliamentary committee
debate from Monday, including a panel discussing the budget for
the next fiscal year.
    A Shinshinto official said the party would not return to
the debating table unless the government agreed to its demand
for the scrapping of a provision in the budget allowing for the
use of 685 billion yen in taxpayers money to help wind up
ailing mortgage firms.
    If the government withdrew the provision, Shinshinto would
cooperate fully in passing the fiscal budget quickly, he said.
    Shinshinto staged a sit-in in parliament this morning to
block the start of proceedings in the budget committee of the
Lower House of parliament.
* Reuter Terminal users, for related news double click on:
[JP] [MTG] [FIN] [BNK] [LOA] [GVD] [DBT] [POL]"	N2:LOA
"to vote on the budget."""	N2:LOA
"[JP] [BNK] [FIN] [LOA] [DBT] [GVD] [MTG]"""	N2:LOA
"    TOKYO, March 4 (Reuter) - Japan's ruling coalition parties
have agreed that parliament's Lower House will not hold a
plenary session which had been scheduled for Monday to vote on
the 1996/97 state budget, a senior official for one of the
coalition parties said."	N2:LOA
"    TOKYO, March 4 (Reuter) - Japan's ruling coalition parties
have agreed that parliament's Lower House will not hold a
plenary session which had been scheduled for Monday to vote on
the 1996/97 state budget, a senior official for one of the
coalition parties said.
    The main opposition Shinshinto (New Frontier Party) was
staging a sit-in in parliament on Monday to block passage of
the budget, which calls for the use of 685 billion yen of
taxpayers' money to help wind up the mortgage firms.
    Japan's ruling coalition parties were continuing efforts on
Monday to compile additional measures to be included in the
scheme."	N2:LOA
"    TOKYO, March 5 (Reuter) - Japan's main opposition party
Shinshinto and the three coalition parties have agreed to hold
a top-level meeting on Wednesday to try to break a
parliamentary deadlock over the 1996/97 state budget, a
Shinshinto official told Reuters on Tuesday."	N2:LOA
"[JP] [M+] [FIN] [BNK] [LOA] [DBT] [GVD] [MTG] [REA]"""	N2:LOA
"    TOKYO, March 4 (Reuter) - Unlisted real estate firm General
Homing has failed to honour its promissory notes for the second
time, which effectively means the company has turned insolvent,
private credit research firm Teikoku Databank said on Monday.
    Nagoya-based General Homing has debts of 10 billion yen,
Teikoku said.
    No comment was immediately available from General Homing.
    As of the end of February 1995, the real estate company
owed 1.27 billion yen to Japan Housing Loan Inc, one of the
ailing mortgage firms which the Japanese government is planning
to wind up, Teikoku said.
* Reuter Terminal users, for related news double click on:
[JP] [REA] [DBT] [LOA]"	N2:LOA
"    LONDON, March 4 (LPC) Union Bank of Switzerland has
completed an extension of a $50 million trade finance deal for
Zambia Consolidated Copper Mines, the bank announced.
    The deal, which had been set to expire March 26, has been
extended to June 24 on the same terms and conditions. All 12
existing banks signed on to the extension. The credit was
originally put into place last year. Pricing is LIB+112.5, with
a 50 bps commitment fee.
    Union Bank of Switzerland is working towards obtaining a new
credit with a maturity of one year or longer for the borrower, a
bank official said.
    State-owned Zambia Consolidated Copper, which is slated to
be privatised, last week announced that it had laid off 2,500 of
the company's nearly 40,000 miners.
   For further details go to <LOANS>
   LPC Newsroom 44-0171-542-4048"	N2:LOA
"    - Manila newsroom 63 2 8109636 Fax 8176267"""	N2:LOA
"    - Manila newsroom 63 2 8109636 Fax 8176267"""	N2:LOA
"Viitanen."""	N2:LOA
"Viitanen."""	N2:LOA
"    --Helsinki Newsroom  +358 - 0 - 680 50 245"""	N2:LOA
"    --Helsinki Newsroom  358 - 0 - 680 50 245"""	N2:LOA
"    TOKYO, March 5 (Reuter) - Additional steps adopted by the
Japanese government in its plan to liquidate ailing housing
loan companies will substantially cut the public burden over
the long term, a government spokesman said on Tuesday."	N2:LOA
"maximum extent,\"" Watanabe said."""	N2:LOA
"and by-laws, formalising its status as a private bank."""	N2:LOA
"    - Manila newsroom 63 2 8109636 Fax 8176267"""	N2:LOA
"and by-laws, formalising its status as a private bank."""	N2:LOA
"    - Manila newsroom 63 2 8109636 Fax 8176267"""	N2:LOA
" -- Luli Popescu, Bucharest Newsroom 40-1 3120264"""	N2:LOA
"    Hong Kong, March 4 (Reuter) - A US$25 million term loan
facility for Tianjin Samsung Electro-Mechanics Co will be
completed as a club deal, said sole arranger Cho Hung Bank.
    The amortizing facility has a final maturity of six years
and will pay 55 basis points over the six month London Interbank
Offered Rate.
    With fees, the all-in return to managers is 62 basis points.
    Proceeds of the loan are to be used for capital expenditure
in China.
     --HK Newsroom (852) 2847 4039"	N2:LOA
"    Hong Kong, March 4 (Reuter) - A US$25 million term loan
facility for Tianjin Samsung Electro-Mechanics Co will be
completed as a club deal, said sole arranger Cho Hung Bank.
    The amortizing facility has a final maturity of six years
and will pay 55 basis points over the six month London Interbank
Offered Rate.
    With fees, the all-in return to managers is 62 basis points.
    Proceeds of the loan are to be used for capital expenditure
in China.
     --HK Newsroom (852) 2847 4039
    HONG KONG, March 5 (Reuter) - Cho Hung Leasing and Finance
(HK) has mandated Cho Hung Finance (HK) to arrange a US$20
million term loan, the arranger said.
    The three-year loan will pay a margin of 55 basis points
over the six month London Interbank Offered Rate. There are no
puts or calls and repayment will be in bullet form.
    With fees, the all-in return for managers is 70 basis
points.
    The proceeds will be used for general working capital
purposes and the facility will be completed as a club deal.
     --Hong Kong Newsroom (852) 2847 4039"	N2:LOA
